Date,Count,Top,BufferRule,Type,Tickers,Weights
2009-03-23,11,AAPL,False,Rebal,AAPL|QCOM|MSFT|GOOG|CSCO|ORCL|INTC|GILD|TEVA|BBRY|CMCSA,0.243879|0.139562|0.131593|0.087219|0.078510|0.068914|0.065157|0.054012|0.046159|0.045451|0.039543
2009-06-22,11,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|ORCL|BBRY|INTC|GILD|GENZ|CELG,0.260573|0.140838|0.134190|0.085343|0.071279|0.063309|0.057733|0.055590|0.045862|0.043222|0.042064
2009-09-21,11,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|BBRY|INTC|ORCL|GENZ|CELG|GILD,0.291681|0.128617|0.113729|0.087009|0.076450|0.059610|0.058310|0.057280|0.046040|0.042695|0.038579
2009-12-21,10,AAPL,False,Recon,AAPL|MSFT|QCOM|GOOG|CSCO|ORCL|INTC|BBRY|AMZN|CELG,0.300000|0.151533|0.112341|0.101913|0.074368|0.063235|0.058739|0.048004|0.045948|0.043919
2010-03-22,10,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOGL|CSCO|ORCL|BBRY|GILD|INTC|AMZN,0.300000|0.112519|0.109393|0.105474|0.078256|0.065581|0.064664|0.062570|0.060451|0.041092
2010-06-21,10,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOGL|CSCO|ORCL|INTC|BBRY|TEVA|GILD,0.300000|0.111343|0.109345|0.103862|0.078096|0.066698|0.065176|0.057853|0.054912|0.052713
2010-09-20,10,AAPL,False,Rebal,AAPL|QCOM|MSFT|GOOGL|ORCL|CSCO|INTC|TEVA|AMZN|GILD,0.300000|0.128238|0.106071|0.104485|0.076949|0.070372|0.056731|0.055124|0.051777|0.050252
2010-12-20,12,AAPL,False,Recon,AAPL|QCOM|GOOGL|MSFT|ORCL|INTC|CSCO|AMZN|BBRY|CMCSA|GILD|TEVA,0.300000|0.117881|0.097433|0.092962|0.070741|0.051074|0.050563|0.049961|0.044286|0.042083|0.041826|0.041191
2011-03-21,12,AAPL,False,Rebal,AAPL|QCOM|GOOGL|MSFT|ORCL|AMZN|CSCO|INTC|TEVA|BIDU|GILD|SBUX,0.300000|0.115520|0.099890|0.088458|0.072980|0.059299|0.049040|0.046988|0.044795|0.043254|0.040930|0.038846
2011-06-20,12,AAPL,False,Rebal,AAPL|QCOM|MSFT|GOOGL|ORCL|AMZN|INTC|TEVA|CSCO|BIDU|GILD|DTV,0.300000|0.117948|0.087733|0.085640|0.075734|0.069012|0.051030|0.044916|0.043700|0.042083|0.041582|0.040621
2011-09-19,12,AAPL,False,Rebal,AAPL|QCOM|MSFT|GOOGL|AMZN|ORCL|INTC|BIDU|CSCO|SBUX|GILD|DTV,0.300000|0.110914|0.091579|0.090125|0.082886|0.064363|0.049420|0.048337|0.044623|0.043392|0.038741|0.035621
2011-12-19,11,AAPL,False,Recon,AAPL|QCOM|GOOGL|MSFT|ORCL|AMZN|INTC|CSCO|SBUX|TEVA|BIDU,0.300000|0.117216|0.111560|0.094210|0.069190|0.066926|0.057152|0.052237|0.050239|0.041018|0.040253
2012-03-19,11,AAPL,False,Rebal,AAPL|MSFT|ORCL|GOOGL|INTC|AMZN|QCOM|CSCO|AMGN|CMCSA|EBAY,0.300000|0.150500|0.099736|0.094602|0.077223|0.062472|0.061516|0.057833|0.033521|0.032613|0.029985
2012-06-18,11,AAPL,False,Rebal,AAPL|MSFT|ORCL|GOOGL|INTC|AMZN|QCOM|CSCO|AMGN|CMCSA|EBAY,0.300000|0.145791|0.094580|0.088462|0.079846|0.077866|0.054567|0.051307|0.037031|0.035537|0.035013
2012-09-24,11,AAPL,False,Rebal,AAPL|MSFT|GOOGL|ORCL|AMZN|INTC|QCOM|CSCO|AMGN|CMCSA|EBAY,0.300000|0.135954|0.104295|0.101125|0.080025|0.060149|0.055190|0.050805|0.038455|0.037510|0.036492
2012-12-24,9,AAPL,True,Recon,AAPL|MSFT|ORCL|GOOGL|AMZN|INTC|CSCO|QCOM|AMGN,0.300000|0.161100|0.142091|0.132009|0.108588|0.073544|0.072667|0.005000|0.005000
2013-03-18,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|ORCL|INTC|AMZN|CSCO|QCOM|CMCSA,0.300000|0.185152|0.151813|0.112123|0.083267|0.080239|0.077407|0.005000|0.005000
2013-06-24,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|ORCL|INTC|CSCO|AMZN|QCOM|CMCSA,0.300000|0.207187|0.151372|0.086917|0.086327|0.080229|0.077968|0.005000|0.005000
2013-09-23,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|ORCL|AMZN|INTC|CSCO|QCOM|AMGN,0.300000|0.195889|0.149182|0.094908|0.086781|0.084434|0.078806|0.005000|0.005000
2013-12-23,9,AAPL,True,Recon,AAPL|MSFT|GOOGL|AMZN|ORCL|INTC|QCOM|CSCO|CMCSA,0.300000|0.192165|0.163340|0.097710|0.090216|0.079522|0.067046|0.005000|0.005000
2014-03-24,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|AMZN|QCOM|INTC|CSCO|META|CMCSA,0.300000|0.231171|0.184168|0.093856|0.092714|0.088091|0.003333|0.003333|0.003333
2014-06-23,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|INTC|QCOM|AMZN|CSCO|META|GILD,0.300000|0.233481|0.176536|0.103428|0.092116|0.084439|0.003333|0.003333|0.003333
2014-09-22,9,AAPL,True,Rebal,AAPL|MSFT|GOOGL|INTC|QCOM|AMZN|CSCO|GILD|META,0.300000|0.245798|0.171392|0.111597|0.083048|0.078164|0.003333|0.003333|0.003333
2014-12-22,9,AAPL,False,Recon,AAPL|MSFT|GOOGL|INTC|CSCO|META|QCOM|AMGN|GILD,0.300000|0.184734|0.111894|0.088212|0.081922|0.060620|0.059804|0.058245|0.054570
2015-03-23,10,AAPL,False,Rebal,AAPL|MSFT|GOOG|GOOGL|AMZN|META|INTC|GILD|CSCO|CMCSA,0.277669|0.166360|0.088915|0.076446|0.076415|0.073298|0.066645|0.065443|0.056781|0.052028
2015-06-22,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|GOOG|GILD|GOOGL|META|INTC|CSCO|CMCSA,0.267539|0.172750|0.085012|0.082134|0.076126|0.072385|0.070367|0.066388|0.055747|0.051553
2015-09-21,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|META|GILD|INTC|CSCO|CMCSA,0.241732|0.165297|0.106457|0.096614|0.085941|0.079048|0.066270|0.060282|0.049392|0.048966
2015-12-21,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|GOOGL|META|INTC|GILD|CSCO,0.240315|0.219799|0.137072|0.120808|0.104165|0.092100|0.075743|0.005000|0.005000
2016-03-21,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|AMZN|META|GOOGL|INTC|CSCO|GILD,0.300000|0.189542|0.109169|0.107271|0.107013|0.096854|0.080151|0.005000|0.005000
2016-06-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.300000|0.175815|0.136995|0.107476|0.101118|0.088913|0.079683|0.005000|0.005000
2016-09-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.300000|0.178780|0.132178|0.108399|0.099200|0.089015|0.082427|0.005000|0.005000
2016-12-19,9,AAPL,False,Recon,AAPL|MSFT|AMZN|GOOG|META|GOOGL|CSCO|INTC|CMCSA,0.294890|0.164429|0.106786|0.084114|0.082133|0.074334|0.067476|0.067400|0.058438
2017-03-20,9,AAPL,False,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO|INTC|CMCSA,0.244869|0.153796|0.140435|0.108846|0.094958|0.084014|0.060912|0.057896|0.054274
2017-06-19,9,AAPL,False,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CMCSA|INTC|CSCO,0.234800|0.155845|0.150540|0.109758|0.098913|0.087142|0.056110|0.053962|0.052929
2017-09-18,9,AAPL,False,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.248196|0.161356|0.143107|0.118537|0.091804|0.080678|0.055011|0.052739|0.048572
2017-12-18,9,AAPL,True,Recon,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.264730|0.178149|0.167175|0.120509|0.103301|0.090001|0.066133|0.005000|0.005000
2018-03-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.270987|0.185190|0.163477|0.122069|0.101356|0.087406|0.059514|0.005000|0.005000
2018-06-18,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.267890|0.184714|0.166834|0.128311|0.098913|0.086015|0.057323|0.005000|0.005000
2018-09-24,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO|INTC|CMCSA,0.293287|0.196608|0.174598|0.099812|0.092240|0.079946|0.053508|0.005000|0.005000
2018-12-24,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|META|GOOGL|CSCO|INTC|CMCSA,0.261050|0.216189|0.161797|0.102356|0.099847|0.089013|0.059747|0.005000|0.005000
2019-03-18,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|GOOG|META|GOOGL|CSCO|INTC|NVDA,0.264619|0.212300|0.199993|0.092695|0.087757|0.079676|0.052960|0.005000|0.005000
2019-06-24,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO|INTC|NVDA,0.258740|0.216945|0.215092|0.097137|0.080525|0.069038|0.052522|0.005000|0.005000
2019-09-23,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO|INTC|NVDA,0.279891|0.215072|0.196310|0.092189|0.087157|0.074686|0.044694|0.005000|0.005000
2019-12-23,9,AAPL,True,Recon,AAPL|MSFT|AMZN|META|GOOGL|GOOG|NVDA|INTC|CSCO,0.267218|0.218353|0.176332|0.090996|0.085204|0.085204|0.066694|0.005000|0.005000
2020-03-23,9,AMZN,True,Rebal,AMZN|MSFT|AAPL|GOOG|META|GOOGL|INTC|CMCSA|CSCO,0.248711|0.243566|0.198465|0.087389|0.081129|0.076931|0.053810|0.005000|0.005000
2020-06-22,9,MSFT,True,Rebal,MSFT|AMZN|AAPL|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.244983|0.241210|0.216447|0.089113|0.081655|0.071993|0.044599|0.005000|0.005000
2020-09-21,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|META|GOOG|GOOGL|NVDA|CMCSA|PYPL,0.246790|0.244083|0.230033|0.085747|0.074664|0.065836|0.042847|0.005000|0.005000
2020-12-21,9,AAPL,True,Recon,AAPL|AMZN|MSFT|META|GOOG|GOOGL|PYPL|CMCSA|TSLA,0.236738|0.217308|0.208368|0.077489|0.074597|0.074597|0.051115|0.049786|0.010000
2021-03-22,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOGL|GOOG|NVDA|TSLA|INTC,0.228131|0.214044|0.200970|0.089933|0.074695|0.072284|0.057594|0.052350|0.010000
2021-06-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|NVDA|ADBE|TSLA,0.217062|0.211513|0.197674|0.090188|0.079444|0.079388|0.071317|0.043413|0.010000
2021-09-20,9,MSFT,True,Rebal,MSFT|AAPL|AMZN|META|GOOGL|GOOG|NVDA|TSLA|ADBE,0.219524|0.217117|0.177536|0.089245|0.083573|0.080735|0.075549|0.046721|0.010000
2021-12-20,9,AAPL,True,Recon,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|META|TSLA|ADBE,0.248380|0.229957|0.170053|0.095421|0.082063|0.082063|0.082063|0.005000|0.005000
2022-03-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|META|TSLA|NFLX,0.246572|0.214700|0.195024|0.097336|0.091425|0.086079|0.058863|0.005000|0.005000
2022-06-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|META|TSLA|CMCSA,0.260588|0.236324|0.170167|0.095855|0.089894|0.076716|0.060456|0.005000|0.005000
2022-09-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|META|TSLA|TMUS,0.292232|0.223012|0.190467|0.088016|0.082475|0.061675|0.052123|0.005000|0.005000
2022-12-19,10,AAPL,False,Recon,AAPL|MSFT|AMZN|GOOG|NVDA|GOOGL|TSLA|PEP|TMUS|AVGO,0.247025|0.216589|0.127785|0.074413|0.073796|0.069697|0.065846|0.043922|0.040929|0.039999
2023-03-20,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|TSLA|META|GOOG|GOOGL|NVDA|PEP|COST,0.257430|0.204960|0.118048|0.091118|0.064812|0.064352|0.062683|0.058058|0.042272|0.036268
2023-06-19,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|META|GOOG|GOOGL|AVGO|PEP,0.237188|0.202293|0.118736|0.101458|0.074956|0.072105|0.061341|0.059911|0.037089|0.034924
2023-09-18,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|TSLA|META|NVDA|GOOG|GOOGL|AVGO|PEP,0.224059|0.191007|0.129825|0.101260|0.076098|0.075671|0.067348|0.065705|0.035787|0.033239
2023-12-18,9,AAPL,True,Recon,AAPL|MSFT|AMZN|TSLA|NVDA|GOOG|GOOGL|META|AVGO,0.259772|0.228007|0.150316|0.101220|0.091182|0.080927|0.078576|0.005000|0.005000
2024-03-18,9,MSFT,True,Rebal,MSFT|AAPL|NVDA|AMZN|GOOGL|TSLA|GOOG|META|AVGO,0.238284|0.237449|0.152819|0.141134|0.073931|0.073917|0.072466|0.005000|0.005000
2024-06-24,9,AAPL,True,Rebal,AAPL|MSFT|NVDA|AMZN|META|GOOGL|GOOG|AVGO|TSLA,0.237061|0.213089|0.169814|0.124907|0.096875|0.074746|0.073507|0.005000|0.005000
2024-09-23,9,AAPL,True,Rebal,AAPL|MSFT|NVDA|AMZN|META|GOOGL|GOOG|TSLA|AVGO,0.254052|0.203371|0.164460|0.128386|0.107920|0.066496|0.065314|0.005000|0.005000
2024-12-23,9,AAPL,False,Recon,AAPL|MSFT|NVDA|TSLA|AMZN|AVGO|META|GOOGL|GOOG,0.208238|0.148617|0.143527|0.108903|0.108257|0.083838|0.083382|0.058151|0.057086
2025-03-24,9,AAPL,False,Rebal,AAPL|NVDA|MSFT|AVGO|META|AMZN|TSLA|GOOGL|GOOG,0.195369|0.175223|0.166304|0.112412|0.107137|0.096863|0.050874|0.048788|0.047030
2025-06-23,9,NVDA,False,Rebal,NVDA|MSFT|AAPL|AVGO|META|AMZN|TSLA|GOOGL|GOOG,0.185727|0.183860|0.159394|0.133446|0.108020|0.088672|0.056873|0.042951|0.041058
2025-09-22,9,NVDA,False,Rebal,NVDA|AAPL|MSFT|AVGO|META|AMZN|GOOGL|GOOG|NFLX,0.195960|0.168001|0.161493|0.147838|0.098087|0.080208|0.054442|0.051857|0.042115
2025-12-22,9,NVDA,False,Recon,NVDA|AAPL|MSFT|AVGO|META|AMZN|GOOGL|TSLA|GOOG,0.188897|0.171444|0.146939|0.143833|0.081769|0.077551|0.064388|0.063627|0.061552
2026-03-23,9,AAPL,False,Rebal,AAPL|NVDA|MSFT|AVGO|GOOG|AMZN|GOOGL|META|TSLA,0.221423|0.126809|0.104561|0.100925|0.096571|0.095538|0.095175|0.089995|0.069005
