Date,Count,Top,Type,Tickers,Weights
2011-09-19,12,AAPL,Rebal,AAPL|QCOM|MSFT|GOOGL|AMZN|ORCL|INTC|BIDU|CSCO|SBUX|GILD|DTV,0.350000|0.102991|0.085038|0.083687|0.076966|0.059765|0.045890|0.044885|0.041435|0.040293|0.035974|0.033077
2011-12-19,11,AAPL,Recon,AAPL|QCOM|GOOGL|MSFT|ORCL|AMZN|INTC|CSCO|SBUX|TEVA|BIDU,0.311814|0.115238|0.109677|0.092620|0.068022|0.065796|0.056188|0.051355|0.049391|0.040326|0.039574
2012-03-19,11,AAPL,Rebal,AAPL|MSFT|ORCL|GOOGL|INTC|AMZN|QCOM|CSCO|AMGN|CMCSA|EBAY,0.306326|0.149140|0.098834|0.093747|0.076525|0.061907|0.060960|0.057310|0.033218|0.032319|0.029714
2012-06-18,11,AAPL,Rebal,AAPL|MSFT|ORCL|GOOGL|INTC|AMZN|QCOM|CSCO|AMGN|CMCSA|EBAY,0.308876|0.143942|0.093381|0.087341|0.078834|0.076878|0.053875|0.050657|0.036561|0.035086|0.034569
2012-09-24,11,AAPL,Rebal,AAPL|MSFT|GOOGL|ORCL|AMZN|INTC|QCOM|CSCO|AMGN|CMCSA|EBAY,0.322200|0.131642|0.100987|0.097918|0.077487|0.058242|0.053439|0.049194|0.037235|0.036321|0.035335
2012-12-24,7,AAPL,Recon,AAPL|MSFT|ORCL|GOOGL|AMZN|INTC|CSCO,0.304690|0.162340|0.143185|0.133025|0.109423|0.074110|0.073227
2013-03-18,7,AAPL,Rebal,AAPL|MSFT|GOOGL|ORCL|INTC|AMZN|CSCO,0.350000|0.174418|0.143012|0.105623|0.078440|0.075588|0.072920
2013-06-24,7,AAPL,Rebal,AAPL|MSFT|GOOGL|ORCL|INTC|CSCO|AMZN,0.350000|0.195177|0.142597|0.081878|0.081322|0.075578|0.073448
2013-09-23,7,AAPL,Rebal,AAPL|MSFT|GOOGL|ORCL|AMZN|INTC|CSCO,0.350000|0.184534|0.140534|0.089406|0.081750|0.079539|0.074237
2013-12-23,7,AAPL,Recon,AAPL|MSFT|GOOGL|AMZN|ORCL|INTC|QCOM,0.322305|0.188738|0.160427|0.095968|0.088607|0.078104|0.065850
2014-03-24,6,AAPL,Rebal,AAPL|MSFT|GOOGL|AMZN|QCOM|INTC,0.338945|0.221473|0.176442|0.089918|0.088825|0.084396
2014-06-23,6,AAPL,Rebal,AAPL|MSFT|GOOGL|INTC|QCOM|AMZN,0.350000|0.219946|0.166302|0.097433|0.086776|0.079544
2014-09-22,6,AAPL,Rebal,AAPL|MSFT|GOOGL|INTC|QCOM|AMZN,0.350000|0.231549|0.161456|0.105128|0.078234|0.073633
2014-12-22,9,AAPL,Recon,AAPL|MSFT|GOOGL|INTC|CSCO|META|QCOM|AMGN|GILD,0.307630|0.182721|0.110674|0.087250|0.081029|0.059959|0.059152|0.057610|0.053975
2015-03-23,10,AAPL,Rebal,AAPL|MSFT|GOOG|GOOGL|AMZN|META|INTC|GILD|CSCO|CMCSA,0.277669|0.166360|0.088915|0.076446|0.076415|0.073298|0.066645|0.065443|0.056781|0.052028
