Date,Count,Top,BufferRule,Type,Tickers,Weights
2014-09-30,9,AAPL,True,Rebal,AAPL|MSFT|INTC|CSCO|GILD|QCOM|AMZN|AMGN|CMCSA,0.300000|0.239278|0.110627|0.098566|0.084349|0.080431|0.076749|0.005000|0.005000
2014-12-31,9,AAPL,True,Recon,AAPL|MSFT|INTC|CSCO|QCOM|AMGN|GILD|AMZN|CMCSA,0.300000|0.300000|0.148191|0.139113|0.102697|0.002500|0.002500|0.002500|0.002500
2015-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|INTC|CSCO|QCOM|GILD|CMCSA|AMGN,0.300000|0.267542|0.128502|0.113232|0.093989|0.086735|0.003333|0.003333|0.003333
2015-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GILD|INTC|CSCO|CMCSA|QCOM|AMGN,0.300000|0.259646|0.133120|0.115460|0.098524|0.083250|0.003333|0.003333|0.003333
2015-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|INTC|GILD|CSCO|CMCSA|QCOM|AMGN,0.300000|0.260191|0.155889|0.097745|0.096538|0.079638|0.003333|0.003333|0.003333
2015-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|INTC|GILD|CSCO|CMCSA|AMGN|QCOM,0.300000|0.300000|0.252165|0.137835|0.002000|0.002000|0.002000|0.002000|0.002000
2016-03-31,11,AAPL,True,Rebal,AAPL|MSFT|AMZN|INTC|CSCO|GILD|CMCSA|CMCSA|AMGN|CMCSA|CMCSA,0.300000|0.300000|0.229753|0.160247|0.001429|0.001429|0.001429|0.001429|0.001429|0.001429|0.001429
2016-06-30,11,AAPL,True,Rebal,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|GILD|AMGN|CMCSA|CMCSA,0.300000|0.256478|0.195992|0.121561|0.115969|0.001667|0.001667|0.001667|0.001667|0.001667|0.001667
2016-09-30,11,AAPL,True,Rebal,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|QCOM|GILD|CMCSA|CMCSA,0.300000|0.253755|0.200310|0.118466|0.117470|0.001667|0.001667|0.001667|0.001667|0.001667|0.001667
2016-12-31,11,AAPL,True,Recon,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|QCOM|GILD|CMCSA|CMCSA,0.300000|0.300000|0.300000|0.012500|0.012500|0.012500|0.012500|0.012500|0.012500|0.012500|0.012500
2017-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CSCO|INTC|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2017-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CMCSA|CSCO|INTC|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
