Date,Count,Top,Type,Tickers,Weights
2014-12-31,7,AAPL,Recon,AAPL|MSFT|INTC|CSCO|QCOM|AMGN|GILD,0.350000|0.224846|0.108160|0.101534|0.074955|0.070895|0.069610
2015-03-31,8,AAPL,Rebal,AAPL|MSFT|AMZN|INTC|GILD|CSCO|QCOM|AMGN,0.344342|0.200088|0.096104|0.084683|0.081208|0.070292|0.064867|0.058416
2015-06-30,8,AAPL,Rebal,AAPL|MSFT|AMZN|GILD|INTC|CSCO|CMCSA|QCOM,0.329965|0.207009|0.106133|0.092053|0.078551|0.066373|0.064068|0.055849
2015-09-30,8,AAPL,Rebal,AAPL|MSFT|AMZN|INTC|GILD|CSCO|CMCSA|QCOM,0.305418|0.218885|0.131141|0.082228|0.081212|0.066995|0.063493|0.050627
2015-12-31,5,AAPL,Recon,AAPL|MSFT|AMZN|INTC|GILD,0.317890|0.299983|0.188051|0.102790|0.091286
2016-03-31,10,AAPL,Rebal,AAPL|MSFT|AMZN|CSCO|INTC|GILD|CMCSA|CMCSA|CMCSA|CMCSA,0.344558|0.177902|0.105215|0.077356|0.073385|0.071474|0.063865|0.063865|0.011190|0.011190
2016-06-30,10,AAPL,Rebal,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|GILD|CMCSA|CMCSA,0.311292|0.169921|0.129848|0.080536|0.076832|0.070093|0.070093|0.066823|0.012281|0.012281
2016-09-30,10,AAPL,Rebal,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|GILD|CMCSA|CMCSA,0.328815|0.170992|0.134978|0.079828|0.079157|0.063640|0.063640|0.056649|0.011151|0.011151
2016-12-31,9,AAPL,Recon,AAPL|MSFT|AMZN|CSCO|INTC|CMCSA|CMCSA|CMCSA|CMCSA,0.350000|0.195692|0.127376|0.080801|0.080745|0.070365|0.070365|0.012329|0.012329
2017-03-31,7,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CSCO|INTC,0.294685|0.184861|0.172159|0.110027|0.097251|0.071171|0.069846
2017-06-30,7,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CMCSA|CSCO,0.285179|0.187067|0.180713|0.115869|0.102522|0.064739|0.063912
2017-09-30,7,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC|CSCO,0.289030|0.191726|0.169310|0.115369|0.101299|0.067878|0.065387
2017-12-31,4,AAPL,Recon,AAPL|MSFT|AMZN|GOOG,0.350000|0.260036|0.242045|0.147919
2018-03-31,6,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC,0.311380|0.218455|0.183866|0.114158|0.098934|0.073207
2018-06-30,6,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC,0.313721|0.215638|0.196436|0.112288|0.097986|0.063932
2018-09-30,5,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL,0.350000|0.230690|0.212691|0.110373|0.096246
2018-12-31,4,AAPL,Recon,AAPL|MSFT|AMZN|GOOG,0.349194|0.290461|0.225145|0.135201
2019-03-31,4,AAPL,Rebal,AAPL|AMZN|MSFT|GOOG,0.344150|0.279356|0.258267|0.118227
2019-06-30,4,AAPL,Rebal,AAPL|AMZN|MSFT|GOOG,0.339472|0.280147|0.277667|0.102714
2019-09-30,4,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG,0.350000|0.283987|0.252241|0.113773
2019-12-31,3,AAPL,Recon,AAPL|MSFT|AMZN,0.350000|0.350000|0.300000
2020-03-31,5,MSFT,Rebal,MSFT|AMZN|AAPL|INTC|CSCO,0.322309|0.290763|0.256638|0.067017|0.063273
2020-06-30,5,MSFT,Rebal,MSFT|AMZN|AAPL|CSCO|INTC,0.309410|0.305223|0.273872|0.056221|0.055274
2020-09-30,4,AAPL,Rebal,AAPL|AMZN|MSFT|NVDA,0.322755|0.322716|0.296954|0.057575
2020-12-31,3,AAPL,Recon,AAPL|AMZN|MSFT,0.350000|0.334500|0.315500
2021-03-31,5,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA,0.301095|0.285104|0.266493|0.077729|0.069579
2021-06-30,5,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA,0.294032|0.285483|0.257625|0.101297|0.061563
2021-09-30,5,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA,0.297372|0.290952|0.240460|0.102562|0.068654
2021-12-31,4,AAPL,Recon,AAPL|MSFT|AMZN|NVDA,0.336338|0.312947|0.219655|0.131061
2022-03-31,5,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA,0.287839|0.244644|0.217640|0.140035|0.109842
2022-06-30,6,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|CMCSA,0.298458|0.270108|0.187524|0.115718|0.080710|0.047483
2022-09-30,6,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|PEP,0.303755|0.246799|0.200600|0.137484|0.065002|0.046361
2022-12-31,6,AAPL,Recon,AAPL|MSFT|AMZN|NVDA|TSLA|PEP,0.323675|0.288367|0.168732|0.088571|0.072244|0.058411
2023-03-31,6,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|PEP,0.328754|0.264590|0.152116|0.125745|0.075900|0.052896
2023-06-30,5,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA,0.331912|0.268462|0.164550|0.135992|0.099083
2023-09-30,5,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA,0.313704|0.266743|0.171587|0.139005|0.108961
2023-12-31,5,AAPL,Recon,AAPL|MSFT|AMZN|TSLA|NVDA,0.310196|0.279538|0.180102|0.121221|0.108944
2024-03-31,8,MSFT,Rebal,MSFT|AAPL|NVDA|AMZN|AVGO|TSLA|COST|PEP,0.231215|0.225595|0.150248|0.140433|0.076702|0.071959|0.054212|0.049635
2024-06-30,8,AAPL,Rebal,AAPL|MSFT|NVDA|AMZN|AVGO|TSLA|COST|PEP,0.238414|0.211442|0.176532|0.129279|0.080090|0.069602|0.054131|0.040510
2024-09-30,8,AAPL,Rebal,AAPL|MSFT|NVDA|AMZN|TSLA|AVGO|COST|PEP,0.253127|0.195494|0.166365|0.119492|0.088218|0.082761|0.054198|0.040345
2024-12-31,6,AAPL,Recon,AAPL|MSFT|NVDA|AMZN|TSLA|AVGO,0.262735|0.185104|0.177485|0.135725|0.131360|0.107591
2025-03-31,11,AAPL,Rebal,AAPL|MSFT|NVDA|META|AVGO|AMZN|COST|TSLA|GOOGL|NFLX|GOOG,0.189649|0.153197|0.150881|0.096249|0.094928|0.087459|0.055101|0.045684|0.043401|0.041744|0.041708
2025-06-30,11,NVDA,Rebal,NVDA|MSFT|AAPL|AVGO|META|AMZN|NFLX|COST|TSLA|GOOGL|GOOG,0.175940|0.162667|0.140296|0.125302|0.098665|0.080666|0.047948|0.046192|0.044789|0.039610|0.037925
